Samples	Type	Group	Class
g406	1	g	g1
g407	1	g	g1
g408	1	g	g1
g409	1	g	g1
g410	1	g	g1
g411	2	g	g2
g412	2	g	g2
g413	2	g	g2
g414	2	g	g2
g415	2	g	g2
g416	1	f	f1
g417	1	f	f1
g418	1	f	f1
g419	1	f	f1
g420	1	f	f1
g421	2	f	f2
g422	2	f	f2
g423	2	f	f2
g424	2	f	f2
g425	2	f	f2
g426	1	z	z1
g427	1	z	z1
g428	1	z	z1
g429	1	z	z1
g430	1	z	z1
g431	2	z	z2
g432	2	z	z2
g433	2	z	z2
g434	2	z	z2
g435	2	z	z2
g436	1	h	h1
g437	1	h	h1
g438	1	h	h1
g439	1	h	h1
g440	1	h	h1
g441	2	h	h2
g442	2	h	h2
g443	2	h	h2
g444	2	h	h2
g445	2	h	h2
g446	1	zm	zm1
g447	1	zm	zm1
g448	1	zm	zm1
g449	1	zm	zm1
g450	1	zm	zm1
g451	2	zm	zm2
g452	2	zm	zm2
g453	2	zm	zm2
g454	2	zm	zm2
g455	2	zm	zm2
