Samples	TN	TP	SOC	NN	AN	AP	pH	Group	Class
g406	2.914683794	0.930540957	0.035585535	0.000497143	0.01686	0.021413333	7.6	g	g1
g407	2.004081637	1.192585525	0.037392431	0.000357955	0.020923295	0.0187213	7.3	g	g1
g408	2.307138269	0.964270656	0.042541922	2.57E-05	0.02178	0.016476337	7.45	g	g1
g409	3.512948039	2.56417872	0.034470756	5.14E-05	0.020057143	0.0176812	7.57	g	g1
g410	4.181308285	1.272754181	0.027898572	0.000222222	0.020615385	0.017166214	7.75	g	g1
g411	1.574819654	0.820465188	0.056213288	0.003470588	0.045019608	0.059141961	7.68	g	g2
g412	1.673792159	0.91982994	0.042432858	0.00292	0.04704	0.044003269	7.7	g	g2
g413	2.201413557	1.040011444	0.046608429	0.002686275	0.040901961	0.0769664	7.62	g	g2
g414	2.325905027	1.197318008	0.039508333	0.00236	0.05202	0.062405	7.43	g	g2
g415	2.670913166	0.916288882	0.043151302	0.002712871	0.045722772	0.047097925	7.78	g	g2
g416	2.529781287	0.916134525	0.051096349	0.00026	0.01543	0.007627067	7.65	f	f1
g417	1.475954956	1.013267471	0.061113668	0.00024	0.01079	0.00964298	7.81	f	f1
g418	1.652841885	0.937981908	0.047970632	0.000277778	0.013323413	0.011787467	7.95	f	f1
g419	1.986754967	0.738430447	0.044111384	0.00015	0.01219	0.00815732	8.07	f	f1
g420	2.155811488	0.85838491	0.048498098	0.000658683	0.015399202	0.007576556	7.68	f	f1
g421	1.549078749	0.67418214	0.055557981	0.01991	0.01105	0.035582039	7.63	f	f2
g422	1.45544405	0.860414323	0.052777986	0.017724551	0.012694611	0.015738026	7.46	f	f2
g423	2.404902108	0.864259485	0.060981237	0.00809	0.01052	0.013174267	7.12	f	f2
g424	1.480226569	1.040773146	0.056782241	0.00956	0.00998	0.010876536	7.11	f	f2
g425	1.371041724	0.710069676	0.054335877	0.007872763	0.010984095	0.012398212	7.72	f	f2
g426	2.488409177	1.860465116	0.047957283	0.00888	0.01251	0.014561067	7.41	z	z1
g427	2.232654316	1.031405451	0.055967254	0.00983	0.01003	0.010196732	7.32	z	z1
g428	2.176611676	1.653360512	0.042803724	0.003143713	0.009670659	0.011787467	7.56	z	z1
g429	1.937141838	0.984369407	0.059022491	0.010886454	0.009292829	0.012915948	7.56	z	z1
g430	1.381100235	1.420748853	0.050859642	0.010898204	0.010848303	0.010331788	7.6	z	z1
g431	1.726902607	1.212522046	0.165257714	0.00047	0.01783	0.006980201	7.4	z	z2
g432	1.152300024	0.853181657	0.181776878	0.00038	0.01615	0.008320467	7.52	z	z2
g433	1.418213861	1.226350937	0.203770039	0.000238569	0.012902584	0.008954172	6.95	z	z2
g434	1.537692367	1.286000538	0.147454776	0.000339321	0.011776447	0.010948092	7.63	z	z2
g435	1.024128804	2.809706258	0.120502674	0.000838323	0.018483034	0.008265364	7.61	z	z2
g436	1.038728882	1.915708812	0.062196521	0.031132265	0.012735471	0.014561067	7.37	h	h1
g437	1.276353773	1.118020225	0.06428836	0.015806773	0.010149402	0.018354379	7.28	h	h1
g438	0.914133696	1.67223449	0.059768352	0.014741551	0.009691849	0.012398212	7.57	h	h1
g439	0.958448599	2.07870706	0.063057251	0.01037	0.01004	0.012915948	7.6	h	h1
g440	0.903575937	1.013978688	0.059460312	0.00927	0.01062	0.011787467	7.22	h	h1
g441	0.724974063	0.787792454	0.03164853	0.002569721	0.019790837	0.036950592	5.06	h	h2
g442	1.016630686	1.580877266	0.033536337	0.003992016	0.015389222	0.037634868	4.96	h	h2
g443	0.842706265	1.346801347	0.038919757	0.001302605	0.015621242	0.041328146	5.04	h	h2
g444	1.048455943	1.353583226	0.029258743	0.00379	0.01499	0.036749867	5.11	h	h2
g445	1.076220412	0.772483331	0.036040903	0.004291417	0.022135729	0.082656623	5.28	h	h2
g446	1.893801563	1.591454597	0.055003155	0.01668	0.01148	0.016994771	7.32	zm	zm1
g447	0.687722873	1.254297094	0.054139161	0.03186255	0.010149402	0.011787467	7.31	zm	zm1
g448	1.237203975	1.165920627	0.056393956	0.01507	0.01113	0.013000921	7.65	zm	zm1
g449	1.412371579	1.17464562	0.058633179	0.03444	0.01245	0.015356846	7.1	zm	zm1
g450	1.86325736	1.514585667	0.054854545	0.02378	0.00931	0.013867667	7.31	zm	zm1
g451	1.376863714	0.622841289	0.062281768	0.00425	0.01007	0.010263816	7.74	zm	zm2
g452	0.64413879	0.94717923	0.061645003	0.005350701	0.009509018	0.011094067	7.28	zm	zm2
g453	0.774514637	0.668270516	0.06058332	0.002164329	0.011833667	0.010876536	7.7	zm	zm2
g454	0.615085641	0.862068966	0.06008396	0.009	0.01132	0.011020596	7.72	zm	zm2
g455	1.188008695	0.904428264	0.060881829	0.009691849	0.010934394	0.013174267	7.78	zm	zm2
