OTU_Id	g411	g412	g413	g414	g415	g421	g422	g423	g424	g425	g431	g432	g433	g434	g435	g441	g442	g443	g444	g445	g451	g452	g453	g454	g455	g406	g407	g408	g409	g410	g416	g417	g418	g419	g420	g426	g427	g428	g429	g430	g436	g437	g438	g439	g440	g446	g447	g448	g449	g450
OTU1	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	3401	5277	2812	2272	2252	0	315	0	0	0	155	0	0	1388	0	0	0	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	0	155	0	787	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	254	1308	1086	312	682	845	0	157	154	0	193	0	155	308	154	0	156	0	0	154	0	0	0	0	0	0
OTU100	4191	6829	1382	4298	2819	619	1767	629	474	309	1549	1573	615	5191	462	0	103	0	0	0	0	310	0	0	0	34791	26075	28438	39995	25901	9321	315	0	3562	5215	3091	8344	20352	1079	1089	156	0	0	154	0	923	2178	1084	1556	1738
OTU1000	1552	12727	921	3684	7204	929	1143	629	1106	2163	2013	2517	2154	157	1538	0	517	418	0	259	0	155	0	260	127	42638	27627	28438	35905	43074	8762	5034	2149	310	17191	1082	5563	4934	0	933	0	315	155	154	0	308	1089	0	0	1738
OTU10000	155	466	768	154	626	0	0	0	0	0	310	0	154	0	154	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10001	310	0	2763	614	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10002	4812	5588	1535	921	7204	2323	1611	0	1106	1545	7124	5978	2615	3933	4308	3163	3880	6524	7838	7778	8089	7743	1031	1978	11053	0	0	1719	0	282	0	157	0	0	0	1236	2627	4471	4009	2333	1867	3146	4491	1075	8982	3692	11044	11305	13378	13115
OTU10003	310	155	614	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10004	931	466	0	0	313	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10005	466	0	0	0	626	465	208	787	0	0	0	0	0	0	0	0	0	0	0	259	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10006	310	155	0	768	0	0	0	0	0	155	0	0	0	2517	615	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	0	0	0	0	0	0
OTU10007	155	0	0	0	0	0	52	1258	0	155	155	0	0	0	154	0	0	0	0	0	0	0	0	156	0	0	0	0	1591	0	1305	0	614	0	7533	1236	0	0	154	622	311	0	465	0	0	923	467	1394	2178	5530
OTU10008	3570	4035	0	0	3915	465	0	157	158	0	10066	16831	3385	2831	0	4356	828	10229	2180	2800	0	310	1598	156	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	11615	0	0	0	0	0
OTU10009	310	466	1382	2917	3602	310	0	0	0	1236	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1001	0	3104	2303	1996	1096	0	0	787	0	0	465	157	308	1258	923	52	0	0	0	0	0	0	0	0	0	7848	15676	17188	7272	5912	559	157	0	310	386	1082	618	1233	154	156	467	157	929	0	0	154	0	310	1556	3792
OTU10010	310	1086	0	0	783	310	0	0	1106	155	0	157	0	157	462	0	0	0	0	0	0	0	0	0	0	0	0	156	227	0	0	0	0	0	0	0	0	0	0	778	0	157	310	0	0	0	467	310	0	632
OTU10011	310	155	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10012	931	621	921	1535	313	929	0	0	0	0	155	157	0	315	0	104	0	209	0	622	3422	465	155	520	2287	0	0	0	0	0	186	0	0	310	0	0	0	0	617	311	156	472	2323	3070	0	2000	622	2478	778	790
OTU10013	776	0	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10014	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10015	310	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0
OTU10016	10089	5277	3377	1075	4698	43363	572	13685	10587	50375	1084	2989	154	0	615	1193	103	157	156	2644	1867	12080	2991	3279	0	0	0	0	0	0	3169	1730	0	3872	2511	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0
OTU10017	8226	3415	0	768	5324	1704	0	0	0	618	0	472	308	5191	0	0	0	0	156	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	154	0	0	0	0
