"OUT_Id"	"g406"	"g407"	"g408"	"g409"	"g410"	"g416"	"g417"	"g418"	"g419"	"g420"	"g426"	"g427"	"g428"	"g429"	"g430"	"g436"	"g437"	"g438"	"g439"	"g440"	"g446"	"g447"	"g448"	"g449"	"g450"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"1"	"OTU1"	3401	5277	2812	2272	2252	0	315	0	0	0	155	0	0	1388	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	"uncultured_compost_bacterium"
"2"	"OTU2"	262	1086	312	909	1126	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	158	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Vulgatibacteraceae"	"Vulgatibacter"	"uncultured_compost_bacterium"
"3"	"OTU3"	262	1086	469	1591	1126	559	157	154	310	0	0	0	154	308	156	311	0	0	0	155	0	156	0	0	474	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_XVIII"	"Symbiobacterium"	"Unassigned"
"4"	"OTU4"	67489	15987	43594	58402	101351	133483	16045	5219	6195	82671	38322	39249	15881	15264	22244	1089	3618	774	0	774	26462	10889	9137	115111	74266	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Devosia"	"Devosia_ginsengisoli"
"5"	"OTU5"	1831	1242	469	909	1126	1119	944	0	0	386	1236	27196	925	617	10111	0	0	619	0	0	0	156	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Unassigned"	"Unassigned"
"6"	"OTU6"	523	1086	156	0	845	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Geobacillus"	"Unassigned"
"7"	"OTU7"	3139	2328	2031	1818	3097	186	157	0	0	386	0	618	0	771	156	0	0	0	0	310	0	156	0	156	1106	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_compost_bacterium"
"8"	"OTU8"	1046	1086	1094	1591	1126	186	944	921	465	966	0	0	617	308	0	0	157	0	0	0	0	0	310	0	158	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_2"	"Planifilum"	"uncultured_compost_bacterium"
"9"	"OTU9"	3924	2018	3281	3636	3097	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	"uncultured_compost_bacterium"
"10"	"OTU10"	1308	1086	312	682	845	0	157	154	0	193	0	155	308	154	0	156	0	0	154	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Thermopolyspora"	"uncultured_compost_bacterium"
"11"	"OTU11"	1831	1242	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Bacillus"	"Unassigned"
"12"	"OTU12"	1831	1863	156	1591	845	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	"uncultured_compost_bacterium"
"13"	"OTU13"	523	466	469	227	1126	0	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_actinomycete"
"14"	"OTU15"	0	155	0	0	282	0	472	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	"Unassigned"
"15"	"OTU17"	1046	466	312	1591	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Thermomonosporaceae"	"Thermomonospora"	"Thermomonospora_chromogena"
"16"	"OTU18"	523	776	469	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	"uncultured_compost_bacterium"
"17"	"OTU19"	0	155	0	0	845	0	472	461	155	0	0	0	1233	771	0	311	0	155	614	0	0	0	310	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Heliobacteriaceae"	"Hydrogenispora"	"uncultured_bacterium"
"18"	"OTU20"	262	776	0	227	0	0	0	0	0	193	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	NA	"uncultured_compost_bacterium"
"19"	"OTU21"	0	466	0	0	282	186	315	0	0	386	0	0	0	0	156	0	629	0	0	0	0	467	1549	0	158	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_compost_bacterium"
"20"	"OTU25"	0	310	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"21"	"OTU26"	0	155	0	0	0	0	472	154	774	2511	773	1082	308	0	467	0	157	0	154	465	615	311	1394	1244	1106	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Unassigned"	"Unassigned"	"Unassigned"
"22"	"OTU27"	262	155	156	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae_1"	"Thermobacillus"	"uncultured_Thermobacillus_sp."
"23"	"OTU28"	14126	5122	25781	29542	15766	24049	472	1535	5730	1932	14834	9272	4471	4934	4822	1089	472	774	154	465	4462	3422	1394	7311	11851	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"Lysobacter_brunescens"
"24"	"OTU29"	262	155	0	0	0	0	315	768	310	1352	773	155	154	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_XI"	"Tepidimicrobium"	"Unassigned"
"25"	"OTU30"	262	1397	937	909	1971	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Thermobispora"	"Unassigned"
"26"	"OTU31"	20927	30266	18281	49312	7601	2051	2045	614	3097	193	0	0	0	0	0	0	157	0	0	0	0	0	0	0	1106	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Thermomonosporaceae"	"Actinomadura"	"Unassigned"
"27"	"OTU32"	523	776	0	909	282	0	0	0	0	0	155	0	0	308	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	"uncultured_compost_bacterium"
"28"	"OTU33"	0	155	469	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	NA	"uncultured_Symbiobacterium_sp."
"29"	"OTU34"	262	466	781	909	1126	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Unassigned"	"Unassigned"	"Unassigned"
"30"	"OTU35"	0	155	0	0	0	0	315	461	310	0	1236	1545	617	154	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae_1"	"Ammoniibacillus"	"Unassigned"
"31"	"OTU36"	1046	155	156	227	845	0	0	0	0	0	0	155	154	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_IV"	"Caldicoprobacter"	"uncultured_bacterium"
"32"	"OTU37"	262	155	156	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Unassigned"	"Unassigned"	"Unassigned"
