"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"1"	"OTU1"	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	"uncultured_compost_bacterium"
"2"	"OTU2"	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	52	0	0	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Vulgatibacteraceae"	"Vulgatibacter"	"uncultured_compost_bacterium"
"3"	"OTU3"	0	0	0	0	0	0	0	157	0	155	310	0	0	157	1231	0	103	0	0	0	311	155	0	416	381	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_XVIII"	"Symbiobacterium"	"Unassigned"
"4"	"OTU4"	6674	19091	6294	31162	18635	19049	6392	4247	11219	40022	16106	19348	3077	16674	48000	363	1707	0	156	104	7622	10531	1134	1197	508	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Devosia"	"Devosia_ginsengisoli"
"5"	"OTU5"	0	0	614	307	313	0	52	0	0	5099	2013	4090	0	9753	4000	0	0	52	0	0	0	929	52	104	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Unassigned"	"Unassigned"
"6"	"OTU6"	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Geobacillus"	"Unassigned"
"7"	"OTU7"	0	0	0	0	0	155	0	157	0	0	0	0	0	157	154	0	0	0	0	0	0	155	0	0	1016	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_compost_bacterium"
"8"	"OTU8"	0	0	0	0	0	619	104	629	316	927	0	0	0	0	308	0	103	0	0	0	311	155	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_2"	"Planifilum"	"uncultured_compost_bacterium"
"9"	"OTU9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	"uncultured_compost_bacterium"
"10"	"OTU10"	0	0	0	0	0	155	0	787	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	254	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptosporangiaceae"	"Thermopolyspora"	"uncultured_compost_bacterium"
"11"	"OTU11"	466	0	0	0	313	0	0	629	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae_1"	"Bacillus"	"Unassigned"
"12"	"OTU13"	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_actinomycete"
"13"	"OTU15"	0	0	0	0	0	0	0	315	158	0	310	0	0	0	154	0	103	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	"Unassigned"
"14"	"OTU17"	0	0	0	0	157	1239	52	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Thermomonosporaceae"	"Thermomonospora"	"Thermomonospora_chromogena"
"15"	"OTU19"	310	0	0	0	0	155	52	157	0	309	0	0	308	315	769	0	0	0	0	0	778	1084	52	0	1270	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Heliobacteriaceae"	"Hydrogenispora"	"uncultured_bacterium"
"16"	"OTU20"	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	103	261	0	0	0	0	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	NA	"uncultured_compost_bacterium"
"17"	"OTU21"	0	0	0	0	0	155	0	944	158	155	0	157	0	315	154	52	0	0	0	0	156	310	0	0	762	"Bacteria"	NA	NA	NA	NA	NA	"uncultured_compost_bacterium"
"18"	"OTU25"	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	"Bacteria"	"Firmicutes"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"19"	"OTU26"	0	0	0	0	157	465	416	1101	158	1082	310	1101	154	472	1846	207	0	0	0	104	156	1084	0	156	1652	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Unassigned"	"Unassigned"	"Unassigned"
"20"	"OTU28"	1707	6519	3377	11206	6734	1394	1039	157	316	1545	10841	5663	1692	1888	8615	259	1759	157	0	519	311	3717	155	104	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"Lysobacter_brunescens"
