"Samples"	"TN"	"TP"	"SOC"	"NN"	"AN"	"AP"	"pH"
"1"	"g91"	1.97011905032154	0.992724796616851	0.0343979622113366	0.00038	0.013995	0.0145610666666667	4.37
"2"	"g92"	2.88305531923707	0.934645225879114	0.0403749677419355	0.000358565737051793	0.0121414342629482	0.0187214666666667	3.77
"3"	"g93"	2.87656831225607	0.740523259607229	0.0455136	0.00041	0.01043	0.016531059602649	3.71
"4"	"g94"	2.8619705423228	0.666264898888442	0.0465009489153254	4e-04	0.01078	0.0172198675496689	3.9
"5"	"g95"	2.58460361302707	0.594575933100618	0.0499065738673671	0.00052	0.01051	0.0198436842105263	4.11
"6"	"g76"	3.06046947767069	1.71874259162676	0.0624452805460751	0.0138095238095238	0.0324603174603175	0.026002	4.33
"7"	"g77"	3.1800676068841	1.46852428713244	0.0605801710344828	0.0107142857142857	0.0305952380952381	0.0288339603960396	4.45
"8"	"g78"	3.28808700784082	2.00543407944107	0.0479706323907455	0.0167460317460317	0.031984126984127	0.0292838834951456	4.07
"9"	"g79"	3.05068365142699	2.02044297941244	0.0615809010989011	0.0165873015873016	0.0336507936507937	0.0282740776699029	4.28
"10"	"g80"	3.00552885800863	1.80995475113122	0.0605353300492611	0.00882	0.03078	0.0302936893203883	5.54
"11"	"g81"	1.99870565251554	0.451334100956686	0.0637421140684411	0.000735177865612648	0.0323596837944664	0.0138676666666667	3.91
"12"	"g82"	1.49210585323174	0.746169532843179	0.0841777552742616	0.000920318725099602	0.0315298804780876	0.0117094039735099	3.71
"13"	"g83"	0.983577812238009	0.357923410725033	0.0907100320557492	0.000869047619047619	0.0314166666666667	0.00970726666666667	4.17
"14"	"g84"	1.18235105408388	0.424471653575915	0.0847361805359661	0.00078	0.03846	0.0117874666666667	4.07
"15"	"g85"	0.6705832377182	0.356990337906368	0.0907227612040134	0.00080952380952381	0.0326309523809524	0.0117094039735099	3.66
