sample	group	trt	rate
CEG0	CEG	0	0.222303929
CEG0	CEG	0	0.233959311
CEG0	CEG	0	0.270573994
CEG0	CEG	0	0.236553876
CEG0	CEG	0	0.221325947
CEG0	CEG	0	0.224357251
CEG1	CEG	1	7.065258578
CEG1	CEG	1	6.998468137
CEG1	CEG	1	6.823682994
CEG1	CEG	1	9.067449807
CEG1	CEG	1	10.67840438
CEG1	CEG	1	10.67538556
CEG5	CEG	5	30.58980636
CEG5	CEG	5	27.66728542
CEG5	CEG	5	41.26474099
CEG5	CEG	5	35.20344255
CEG5	CEG	5	75.82765558
CEG5	CEG	5	34.84942177
CEG10	CEG	10	19.80274515
CEG10	CEG	10	17.07129979
CEG10	CEG	10	32.57264403
CEG10	CEG	10	30.1861462
CEG10	CEG	10	66.82801035
CEG10	CEG	10	91.64553441
CEG15	CEG	15	13.09172424
CEG15	CEG	15	25.41603415
CEG15	CEG	15	9.775183331
CEG15	CEG	15	18.10333596
CEG15	CEG	15	15.77376885
CEG15	CEG	15	9.002671578
CEG20	CEG	20	69.73989756
CEG20	CEG	20	31.14743544
CEG20	CEG	20	18.03087761
CEG20	CEG	20	34.92422653
CEG20	CEG	20	53.48178881
CEG20	CEG	20	17.95567534
CEG25	CEG	25	5.637110005
CEG25	CEG	25	5.741864863
CEG25	CEG	25	5.354298169
CEG25	CEG	25	4.753745048
CEG25	CEG	25	5.406836586
CEG25	CEG	25	4.877864745
CEG30	CEG	30	7.962942345
CEG30	CEG	30	6.355325929
CEG30	CEG	30	8.669195986
CEG30	CEG	30	8.785706551
CEG30	CEG	30	13.3309084
CEG30	CEG	30	11.45049982
CEG40	CEG	40	37.40106777
CEG40	CEG	40	40.15427896
CEG40	CEG	40	18.35478457
CEG40	CEG	40	37.38933155
CEG40	CEG	40	15.95713376
CEG40	CEG	40	50.35517759
CEG50	CEG	50	9.629763635
CEG50	CEG	50	28.41796828
CEG50	CEG	50	14.1253861
CEG50	CEG	50	10.89047536
CEG50	CEG	50	21.08223357
CEG50	CEG	50	12.3840656
CEG60	CEG	60	5.974922297
