sampleid	group	value	state
1	CK	0.0784	L
2	CK	0.0644	L
3	CK	0.0824	L
4	CK	0.0665	L
5	CK	0.8632	D
6	CK	0.8749	D
7	CK	0.8062	D
8	CK	0.8506	D
9	NPK	0.1204	L
10	NPK	0.1228	L
11	NPK	0.1217	L
12	NPK	0.1072	L
13	NPK	0.7935	D
14	NPK	0.8044	D
15	NPK	0.793	D
16	NPK	0.8146	D
17	M	0.099	L
18	M	0.1424	L
19	M	0.1446	L
20	M	0.1292	L
21	M	0.8508	D
22	M	0.8069	D
23	M	0.7808	D
24	M	0.7312	D
25	MNPK	0.0895	L
26	MNPK	0.1014	L
27	MNPK	0.2105	L
28	MNPK	0.2148	L
29	MNPK	0.8546	D
30	MNPK	0.8499	D
31	MNPK	0.6803	D
32	MNPK	0.6736	D
33	HMNPK	0.136	L
34	HMNPK	0.1946	L
35	HMNPK	0.2093	L
36	HMNPK	0.2719	L
37	HMNPK	0.7398	D
38	HMNPK	0.6801	D
39	HMNPK	0.6602	D
40	HMNPK	0.5995	D
